CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2
015178,POZZUOLO MARTESANA,MILANO,4694,2088
018103,NICORVO,PAVIA,140,56
012093,LUVINATE,VARESE,804,428
097022,CIVATE,LECCO,2389,1149
019043,FIESCO,CREMONA,640,297
097057,OGGIONO,LECCO,5205,2430
012052,CLIVIO,VARESE,1069,446
018114,PIEVE PORTO MORONE,PAVIA,1350,635
017007,ARTOGNE,BRESCIA,2043,792
097061,OSNAGO,LECCO,2707,1188
017051,CEVO,BRESCIA,518,214
019099,SOSPIRO,CREMONA,2074,1467
098055,SORDIO,LODI,1866,803
015136,MASATE,MILANO,1832,762
015103,GAGGIANO,MILANO,4945,1868
016024,BERGAMO,BERGAMO,67445,36382
017113,MONTICHIARI,BRESCIA,11459,4692
017049,CERVENO,BRESCIA,426,197
016042,BRUSAPORTO,BERGAMO,2921,1243
013251,COLVERDE,COMO,2952,1136
016212,TELGATE,BERGAMO,2452,1379
017062,CORTE FRANCA,BRESCIA,3809,1617
019065,PADERNO PONCHIELLI,CREMONA,749,402
015096,CUGGIONO,MILANO,4273,1741
019072,PIANENGO,CREMONA,1434,683
019058,MONTE CREMASCO,CREMONA,1203,516
098035,MALEO,LODI,1887,921
017033,CALVAGESE DELLA RIVIERA,BRESCIA,1606,650
017002,ADRO,BRESCIA,3897,1683
018031,CASANOVA LONATI,PAVIA,270,120
098036,MARUDO,LODI,846,399
013147,MERONE,COMO,2630,961
016246,ZOGNO,BERGAMO,4971,2483
013135,LUISAGO,COMO,1564,638
017018,BIENNO,BRESCIA,2443,1158
013144,MASLIANICO,COMO,1814,753
019010,CAMISANO,CREMONA,700,369
098013,CASTELNUOVO BOCCA D'ADDA,LODI,929,449
016128,LOVERE,BERGAMO,3465,1807
016082,CORNA IMAGNA,BERGAMO,487,224
014044,MONTAGNA IN VALTELLINA,SONDRIO,1788,788
018122,RIVANAZZANO TERME,PAVIA,2939,1569
017058,COLLIO,BRESCIA,1035,460
020053,ROVERBELLA,MANTOVA,3867,1565
018021,BRALLO DI PREGOLA,PAVIA,256,157
098029,GUARDAMIGLIO,LODI,1332,558
012089,LONATE CEPPINO,VARESE,2576,1047
018147,SCALDASOLE,PAVIA,477,213
013178,PEGLIO,COMO,79,36
018193,COLLI VERDI,PAVIA,675,393
012118,SAMARATE,VARESE,8544,3874
018016,BORGO PRIOLO,PAVIA,691,339
019090,SAN GIOVANNI IN CROCE,CREMONA,1049,547
012029,CAIRATE,VARESE,4025,1842
015177,POZZO D'ADDA,MILANO,3159,1246
016177,PUMENENGO,BERGAMO,918,531
019103,STAGNO LOMBARDO,CREMONA,857,463
020050,RIVAROLO MANTOVANO,MANTOVA,1314,751
015016,BELLINZAGO LOMBARDO,MILANO,2119,982
018042,CECIMA,PAVIA,144,98
017097,MACLODIO,BRESCIA,786,336
017136,PASSIRANO,BRESCIA,4118,1748
015189,ROZZANO,MILANO,21751,9879
016234,VERTOVA,BERGAMO,2650,1428
018186,ZEME,PAVIA,515,260
017135,PASPARDO,BRESCIA,393,216
098039,MERLINO,LODI,882,338
017077,GAVARDO,BRESCIA,6070,2885
015007,ARCONATE,MILANO,3488,1550
016099,FINO DEL MONTE,BERGAMO,780,334
017100,MALEGNO,BRESCIA,1262,567
016012,ARDESIO,BERGAMO,2090,944
097086,VERCURAGO,LECCO,1772,894
098002,BERTONICO,LODI,587,244
015011,ASSAGO,MILANO,5174,2061
013064,CERMENATE,COMO,4939,2085
017146,POMPIANO,BRESCIA,1975,894
013053,CASNATE CON BERNATE,COMO,3002,1244
016084,COSTA DI MEZZATE,BERGAMO,1750,713
015122,LISCATE,MILANO,2103,815
108009,BIASSONO,MONZA E DELLA BRIANZA,7372,3219
020010,CASALMORO,MANTOVA,1092,445
018080,LARDIRAGO,PAVIA,670,356
013188,PONTE LAMBRO,COMO,2655,1238
016126,LEVATE,BERGAMO,2144,931
016250,MEDOLAGO,BERGAMO,1287,537
097090,VIGANO',LECCO,1267,560
017172,SAN GERVASIO BRESCIANO,BRESCIA,1167,488
