"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",9966992,"e","dato stimato"
"ITC41","Varese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",879929,"e","dato stimato"
"ITC42","Como","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",594671,"e","dato stimato"
"ITC43","Lecco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",332593,"e","dato stimato"
"ITC44","Sondrio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",179234,"e","dato stimato"
"ITC45","Milano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3249821,"e","dato stimato"
"ITC46","Bergamo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1099621,"e","dato stimato"
"ITC47","Brescia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1247583,"e","dato stimato"
"ITC48","Pavia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",534951,"e","dato stimato"
"ITC49","Lodi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",225885,"e","dato stimato"
"ITC4A","Cremona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",351698,"e","dato stimato"
"ITC4B","Mantova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",403585,"e","dato stimato"
"018003","Albonese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",508,"e","dato stimato"
"014002","Albosaggia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3037,"e","dato stimato"
"018004","Albuzzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3555,"e","dato stimato"
"017004","Alfianello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2388,"e","dato stimato"
"016248","Algua","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",657,"e","dato stimato"
"016005","Alme'","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5486,"e","dato stimato"
"016006","Almenno San Bartolomeo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6452,"e","dato stimato"
"016007","Almenno San Salvatore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5606,"e","dato stimato"
"016008","Alzano Lombardo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",13370,"e","dato stimato"
"013007","Alzate Brianza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4794,"e","dato stimato"
"016009","Ambivere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2366,"e","dato stimato"
"014003","Andalo Valtellino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",583,"e","dato stimato"
"017005","Anfo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",446,"e","dato stimato"
"012003","Angera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5407,"e","dato stimato"
"013010","Appiano Gentile","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",7607,"e","dato stimato"
"014004","Aprica","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1482,"e","dato stimato"
"016011","Arcene","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4768,"e","dato stimato"
"012004","Arcisate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",9900,"e","dato stimato"
"015007","Arconate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6658,"e","dato stimato"
"108004","Arcore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",17833,"e","dato stimato"
"014005","Ardenno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3224,"e","dato stimato"
"018005","Arena Po","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1540,"e","dato stimato"
"013011","Argegno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",681,"e","dato stimato"
"016015","Aviatico","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",553,"e","dato stimato"
"019004","Azzanello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",590,"e","dato stimato"
"017008","Azzano Mella","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3315,"e","dato stimato"
"016016","Azzano San Paolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",7522,"e","dato stimato"
"012006","Azzate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4604,"e","dato stimato"
"012007","Azzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",743,"e","dato stimato"
"016017","Azzone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",376,"e","dato stimato"
"018006","Badia Pavese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",384,"e","dato stimato"
"016018","Bagnatica","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4346,"e","dato stimato"
"017009","Bagnolo Mella","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",12406,"e","dato stimato"
"020003","Bagnolo San Vito","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5712,"e","dato stimato"
"017010","Bagolino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3772,"e","dato stimato"
"IT108","Monza e della Brianza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",867421,"e","dato stimato"
"012133","Varese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",80039,"e","dato stimato"
"013075","Como","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",84808,"e","dato stimato"
"014061","Sondrio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",21283,"e","dato stimato"
"015146","Milano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1397715,"e","dato stimato"
"016024","Bergamo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",119684,"e","dato stimato"
"017029","Brescia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",195102,"e","dato stimato"
"018110","Pavia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",70971,"e","dato stimato"
"019036","Cremona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",71523,"e","dato stimato"
"020030","Mantova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",48523,"e","dato stimato"
"097042","Lecco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",47415,"e","dato stimato"
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",44574,"e","dato stimato"
"108033","Monza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",123983,"e","dato stimato"
"098001","Abbadia Cerreto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",283,"e","dato stimato"
"097001","Abbadia Lariana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3190,"e","dato stimato"
"015002","Abbiategrasso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",32473,"e","dato stimato"
"017001","Acquafredda","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1510,"e","dato stimato"
